BLDG 1,BLDG 2
125.52,188.28
996.5424075,147.9661639
890.6978051,130.131935
811.2554621,118.0256183
771.0531557,114.2630118
678.6735771,98.55292987
677.2034109,100.9849467
874.4595203,145.572551
918.9323022,155.7090043
873.3633649,144.2697601
860.534802,138.9704618
943.2536594,155.2360019
1016.803886,169.7841138
1066.155758,180.0216445
1049.491926,176.7824682
1173.288045,202.6168146
1150.676284,195.384219
995.6395962,155.2558836
1112.695129,183.0092739
1335.24293,233.3772119
1552.454545,279.542936
1845.454634,340.3390166
2144.958058,405.4616689
2314.900441,441.9792957
2557.025664,493.6340942
2521.833209,485.1143289
2553.555042,489.2346325
2567.485535,489.5560572
2533.963239,481.1459999
2543.197866,480.8415378
2438.357179,462.731299
2415.396929,456.3847309
2426.308718,468.4083114
2583.310321,495.5113973
2553.176494,486.4481404
2521.793255,476.9939597
2546.790569,478.2638847
2604.923976,492.5359332
2618.44382,495.262499
2567.836368,482.2310841
2419.215389,447.0219371
2128.342699,372.9919234
2086.590654,368.3101383
2212.050564,399.1766462
2173.004691,390.7726749
1987.016561,350.736546
2150.742491,382.4347661
2150.45123,384.0993383
2167.081041,389.7745414
2298.071575,417.5232621
2303.48092,419.4034488
2220.415927,403.8553857
2001.727531,360.0121832
1891.95987,336.2025604
1822.079354,326.1039224
1731.051945,307.6437567
1607.381246,289.8183095
1548.506966,275.1086537
1443.80943,252.0084062
1331.116153,225.8844257
1313.634431,220.4372209
1489.993045,262.3491759
1491.75526,264.8206614
1442.748577,256.0143596
1375.682648,240.5367779
1255.367185,204.3842683
1406.095002,239.6784198
1625.237567,290.468172
1672.318028,301.7880209
1846.356174,338.4646523
2262.702816,422.4178191
2680.217571,513.2914789
3006.093299,581.8705802
3116.653399,602.4230093
3027.810489,580.2606428
3076.185413,586.0443855
3084.609414,584.1013415
2990.738893,561.58601
2820.880626,531.2200926
2902.311638,546.3544145
2865.18252,551.0846006
2809.088179,532.9909383
2699.709134,506.6016143
2566.853025,476.6456789
2432.74329,445.1556016
2313.734881,423.1791587
2168.995822,393.4869439
2034.469107,365.8108195
1767.782734,308.4160955
1521.58506,247.265914
1563.489894,262.3487664
1667.099942,291.7005303
1765.626596,314.8653757
1744.248195,311.4865822
1894.05065,342.1159364
1930.838115,350.4104137
1863.159572,335.3956617
1747.035701,310.6157656
1657.146756,293.4149819
1755.285122,320.382982
1763.371279,325.6317808
1725.51978,317.6418806
1577.549366,290.1745703
1514.99204,277.7976034
1459.257423,271.1399059
1418.464277,260.1242272
1413.626577,259.8097372
1447.691644,267.1964537
1587.587267,295.4624244
1749.779275,333.0075636
1869.64873,357.9288802
1792.94052,339.1599556
1754.199909,326.869005
1619.188395,285.0548138
1726.48599,308.3867909
1942.793214,358.0962113
2005.238291,373.0102464
1983.128052,366.0785855
2130.109642,391.81255
2255.913895,420.0823979
2474.113507,466.4578216
2689.704719,510.6862511
2747.721536,521.4187961
2905.966189,552.3669516
2867.305729,541.9664074
2792.180936,522.9891012
2728.279718,514.0811331
2646.454508,494.1035238
2507.964313,478.258585
2360.544275,440.7864839
2316.240706,429.226061
2330.565676,431.9810491
2248.847365,411.5258629
2104.702092,379.292055
2051.649603,365.5930737
2030.797986,359.4592209
1893.358258,327.6817857
1682.075143,271.8456395
1652.844552,270.5866444
1835.888908,312.5216599
1992.502678,347.4841355
1932.141684,336.184626
1917.109756,331.4606248
1958.470822,344.9847763
1997.248249,356.7759665
2002.58341,360.736053
2064.474511,376.1070475
2183.717763,403.4456778
2414.82987,454.3663493
2528.349082,478.6560427
2518.376088,482.359202
2644.080132,506.5248866
2698.688498,521.2931995
2758.497232,527.0371002
2743.963083,521.5716419
2806.966212,533.2846251
2794.45778,526.9810702
2787.085093,523.6261801
2668.413828,496.7227067
2638.238891,489.519998
2545.921485,468.0804547
2292.33488,408.682321
2356.563938,424.1457117
2450.677268,446.2898376
2622.944588,481.7007318
2832.955538,524.1102624
3117.702041,584.1473152
3393.159375,640.7278443
3501.491848,661.8609266
3542.782104,667.1863272
3538.579129,664.1441739
3526.852266,659.8248534
3492.484895,651.6629128
3474.239966,645.9292083
3356.600487,618.2971275
3215.109947,586.8812892
3173.49402,595.7381394
3231.850576,606.7609616
3161.590121,589.5736545
3180.662449,591.1994994
3343.088439,623.3279376
3398.568975,632.936509
3532.065902,658.1891619
3512.919421,651.9006551
3308.741297,605.9359414
3045.649787,544.2816286
3253.888512,589.2118825
3522.39742,643.7559828
3652.801801,669.6997557
3658.912094,668.4003271
3718.310264,682.2229756
3932.204928,727.9792266
3986.891376,740.9697765
4119.725269,768.1749617
4214.782937,787.48894
4216.100914,786.4478412
4384.460222,819.2878556
4394.367534,818.9158321
4242.665882,795.1715537
4347.491873,814.5998929
4281.840312,827.2187807
4211.512598,811.6308007
3974.913192,757.7038103
3802.396328,719.0676961
3701.809162,694.1366251
3416.66985,635.6775524
3341.075128,620.5151635
3252.508883,603.0201594
2969.884698,542.9749758
2647.213853,465.4335184
2689.897661,474.6774197
2972.31798,535.7253359
3063.792216,555.7890136
2964.722653,534.1701081
3012.046216,539.0432278
3072.679241,554.7450774
3098.531355,562.675111
3079.922832,561.0329104
2990.573759,543.4610927
2902.754375,526.8105653
3137.634343,578.9935209
3297.370011,612.4729573
3243.181106,608.9832082
3293.59944,617.7370634
3097.469943,596.8436525
3022.59083,577.4404018
2957.208111,560.1993397
2863.381818,537.7629164
2806.794505,522.3552855
2678.981215,497.0942939
2519.776183,463.2097766
2452.348117,448.7886228
2310.608646,417.3608197
2039.85648,349.07257
2098.055493,367.865318
2109.961704,372.3528234
1923.708761,331.4566517
1962.967685,336.2990711
2279.191277,402.2232604
2474.477149,450.46733
2667.427609,494.27449
2744.442823,512.7894997
2838.074686,532.5571775
3052.314665,576.4695565
3045.905865,573.5037526
2987.604054,558.7873332
2877.103279,542.2085666
3076.483795,582.5207744
3171.843101,618.200312
3423.479073,666.6665709
3492.11163,677.342517
3626.675127,702.0811114
3631.212851,696.6665685
3626.147079,695.7065821
3705.285875,710.9193586
3676.1827,702.96754
3597.351494,682.2673372
3488.852883,646.4627371
3506.333374,648.7820059
3664.895171,679.506177
3781.914754,702.7793882
3828.240052,710.6350264
4158.498862,769.6374648
4434.458803,826.9145267
4577.85667,856.1046162
4538.798913,846.8827127
4549.444369,847.4839277
4670.067668,871.3135485
4695.142312,874.9960688
4653.507743,863.5544731
4423.073698,824.0473139
4423.378611,822.9336748
4500.488517,867.6165523
4561.639515,881.3987484
4450.1588,853.9532982
4488.658335,859.177911
4369.090162,828.7861521
4275.359779,810.4890974
4177.853823,789.9496156
3905.596531,731.9323059
3662.511553,679.9995257
3488.327582,633.848415
3578.537313,646.3021128
3623.300841,654.0906252
3602.414324,650.2201049
3462.405861,622.125522
3556.499072,639.4677585
3736.316486,681.9899315
3789.305533,696.4910269
3671.088193,675.1501476
3681.892249,680.3679262
3655.413212,677.4755572
3700.574049,689.3995762
3654.772258,680.9335354
3632.085512,683.6443638
3517.658919,657.9565031
3373.08574,653.9980763
3358.136705,652.2881865
3192.844773,613.9991392
3157.216891,604.0186964
3312.877893,632.5776998
3237.093361,616.4970751
3300.107019,628.327441
3366.182626,640.6031628
3364.850955,636.891158
3149.093388,578.0956218
3224.761301,589.9491238
3224.782006,586.5041674
3277.002883,596.8123784
3341.346871,610.7378561
3415.685706,619.5854358
3424.568477,623.7137603
3482.861335,638.1798534
3461.954274,635.0913669
3431.431365,629.6712421
3301.865555,603.8288923
