0.45,0,0.45,0.46,6.98,7.42,0.04,7.45,1.23,8.71,1.8,10.51,0.04,10.5,1.77,12.32,12.28,150.69,0.01,150.73,150.71,88.25,10.92,77.33,77.3,14.02,14.04,10.13,3.9,3.87,3.88,1.17,2.73,2.73,2.74,2.71,2.72,0,35.71,0.47,35.28,19.04,3.82,1.72,13.49,13.49,0.13,13.37,3.45,9.92,9.9,1.12,8.81,16.23,1.1,9.3,5.84,14.63,2.76,11.87,12.16,2.63,1.81,0.82,9.55,0.67,8.87,4.21,3.34,1.32,14.92,1.76,16.69,16.68,9.2,51.75,1.87,55.85,2.2,2.01,0.18,27.61,28.29,138.4,110.14,56.28,8.92,7.33,40.07,19.37,1.95,18.73,27.73,6.08,2.92,9,10.2,25.88,6.7,2.19,-4.5,14.64,19.13,3.13,16,16,18.91,5.28,13.64,7.7,5.04,0.88,3.35,-2.46,-2.46,2.38,-6.7,6.4,0.37,7.17,4.62,25.26,1.14,18.75,18.73,2.3,11.72,-4.74,11.63,-14.71,1.71,3.86,20.24,-8.62,1.25,1.96,11.81,8.82,2.45,23.07,0.81,23.88,2.6,26.52,26.5,2.28,9.78,0.78,2.08,6.92,6.93,38.53,10.26,5.04,53.8,1.86,239.74,0,0.03
0.54,0,0.54,0.55,8.37,8.9,0.04,8.95,1.47,10.44,2.16,12.6,0.04,12.62,2.12,14.77,14.74,180.86,0.01,180.89,180.88,105.91,13.11,92.81,92.78,16.83,16.84,12.16,4.67,4.66,4.66,1.4,3.27,3.27,3.28,3.25,3.26,0,42.87,0.56,42.34,22.85,4.59,2.06,16.19,16.19,0.16,16.04,4.14,11.9,11.89,1.34,10.57,19.48,1.32,11.17,7,17.56,3.31,14.25,14.6,3.16,2.18,0.98,11.45,0.81,10.64,5.05,4.01,1.59,17.92,2.11,20.03,20.02,11.04,62.12,2.25,67.02,2.64,2.42,0.22,33.12,33.95,166.11,132.19,67.56,10.7,8.79,48.09,23.25,2.34,22.48,33.28,7.3,3.5,10.8,12.25,31.06,8.03,2.63,-5.4,17.57,22.96,3.75,19.21,19.21,22.69,6.34,16.37,9.25,6.05,1.06,4.02,-2.95,-2.95,2.86,-8.04,7.69,0.45,8.6,5.55,30.32,1.37,22.5,22.49,2.76,14.07,-5.68,13.97,-17.64,2.05,4.62,24.3,-10.34,1.5,2.35,14.17,10.59,2.94,27.69,0.98,28.66,3.12,31.81,31.8,2.74,11.74,0.94,2.49,8.3,8.3,46.25,12.31,6.05,64.58,2.23,287.38,0,0.02
0.56,0,0.55,0.56,8.58,9.13,0.04,9.17,1.51,10.7,2.21,12.91,0.04,12.94,2.18,15.14,15.12,185.44,0.01,185.47,185.46,108.59,13.44,95.15,95.14,17.25,17.26,12.47,4.79,4.78,4.78,1.43,3.35,3.35,3.36,3.34,3.35,0,43.97,0.57,43.41,23.43,4.7,2.11,16.61,16.6,0.16,16.45,4.25,12.2,12.19,1.37,10.83,19.98,1.35,11.45,7.18,18,3.4,14.61,14.97,3.23,2.23,1,11.74,0.83,10.91,5.18,4.11,1.63,18.37,2.16,20.54,20.53,11.32,63.7,2.3,68.72,2.7,2.48,0.23,33.95,34.8,170.32,135.53,69.28,10.97,9.01,49.31,23.84,2.4,23.06,34.13,7.48,3.59,11.07,12.56,31.85,8.24,2.7,-5.53,18.01,23.54,3.85,19.69,19.69,23.27,6.5,16.78,9.48,6.2,1.09,4.12,-3.03,-3.03,2.93,-8.25,7.88,0.46,8.82,5.69,31.09,1.41,23.07,23.06,2.83,14.42,-5.83,14.32,-18.08,2.1,4.74,24.91,-10.6,1.53,2.4,14.53,10.85,3.01,28.39,1,29.39,3.2,32.61,32.6,2.81,12.03,0.96,2.56,8.51,8.51,47.42,12.63,6.2,66.23,2.29,294.45,0,0.01
0.57,0,0.56,0.57,8.78,9.34,0.05,9.39,1.55,10.95,2.26,13.22,0.05,13.25,2.23,15.49,15.47,189.82,0.02,189.84,189.84,111.15,13.76,97.4,97.38,17.66,17.67,12.77,4.9,4.89,4.89,1.47,3.43,3.43,3.43,3.42,3.42,0,45,0.59,44.43,23.98,4.81,2.16,17,16.99,0.17,16.84,4.35,12.49,12.48,1.4,11.09,20.45,1.38,11.72,7.35,18.43,3.48,14.95,15.32,3.31,2.28,1.03,12.02,0.85,11.17,5.3,4.21,1.67,18.8,2.21,21.02,21.02,11.59,65.21,2.36,70.34,2.77,2.54,0.23,34.75,35.62,174.34,138.73,70.91,11.23,9.23,50.47,24.4,2.46,23.6,34.93,7.66,3.67,11.33,12.86,32.61,8.43,2.77,-5.66,18.44,24.1,3.94,20.16,20.16,23.82,6.65,17.18,9.71,6.35,1.11,4.21,-3.1,-3.1,3,-8.44,8.07,0.47,9.03,5.82,31.82,1.44,23.61,23.61,2.89,14.76,-5.96,14.66,-18.51,2.15,4.85,25.5,-10.85,1.57,2.46,14.87,11.11,3.08,29.06,1.02,30.08,3.28,33.38,33.36,2.87,12.31,0.98,2.62,8.71,8.71,48.53,12.92,6.35,67.79,2.34,301.4,0,0.01
0.62,0,0.62,0.62,9.55,10.16,0.05,10.21,1.68,11.91,2.46,14.37,0.05,14.4,2.42,16.85,16.83,206.41,0.02,206.43,206.43,120.87,14.96,105.91,105.89,19.2,19.21,13.88,5.33,5.32,5.32,1.59,3.73,3.73,3.73,3.72,3.72,0,48.94,0.64,48.31,26.08,5.23,2.35,18.48,18.47,0.18,18.31,4.73,13.58,13.57,1.53,12.06,22.23,1.5,12.75,7.99,20.04,3.78,16.26,16.66,3.6,2.48,1.12,13.07,0.92,12.15,5.76,4.57,1.81,20.45,2.41,22.86,22.85,12.6,70.9,2.56,76.49,3.01,2.76,0.25,37.78,38.74,189.58,150.86,77.11,12.22,10.03,54.88,26.54,2.67,25.66,37.99,8.32,3.99,12.32,13.98,35.45,9.17,3.01,-6.16,20.05,26.2,4.28,21.92,21.92,25.9,7.24,18.68,10.56,6.9,1.21,4.58,-3.37,-3.37,3.26,-9.18,8.77,0.51,9.82,6.33,34.6,1.56,25.68,25.67,3.15,16.05,-6.48,15.94,-20.13,2.34,5.27,27.73,-11.79,1.71,2.68,16.17,12.08,3.35,31.6,1.11,32.71,3.56,36.29,36.28,3.12,13.39,1.07,2.85,9.47,9.47,52.78,14.05,6.9,73.71,2.55,327.73,0,0.01
0.78,0,0.77,0.78,11.98,12.75,0.06,12.81,2.11,14.93,3.09,18.02,0.06,18.08,3.04,21.12,21.12,259.02,0.02,259.04,259.04,151.67,18.77,132.9,132.89,24.1,24.1,17.42,6.68,6.67,6.67,2,4.68,4.67,4.68,4.67,4.67,0,61.42,0.8,60.62,32.72,6.57,2.95,23.2,23.2,0.23,22.97,5.93,17.04,17.04,1.91,15.13,27.9,1.89,16,10.02,25.15,4.74,20.4,20.91,4.52,3.11,1.4,16.4,1.16,15.24,7.23,5.74,2.27,25.66,3.02,28.68,28.68,15.81,88.99,3.22,95.99,3.78,3.46,0.32,47.39,48.61,237.9,189.3,96.77,15.33,12.58,68.87,33.3,3.35,32.21,47.67,10.44,5.01,15.46,17.54,44.49,11.5,3.77,-7.73,25.15,32.88,5.37,27.51,27.51,32.51,9.08,23.44,13.25,8.66,1.52,5.75,-4.23,-4.23,4.09,-11.52,11.01,0.64,12.32,7.94,43.43,1.96,32.22,32.22,3.95,20.14,-8.13,20.01,-25.25,2.94,6.61,34.79,-14.79,2.14,3.36,20.29,15.16,4.21,39.65,1.4,41.05,4.47,45.53,45.52,3.92,16.8,1.34,3.57,11.88,11.88,66.23,17.64,8.66,92.51,3.2,410.94,0,0
0.91,0,0.91,0.92,14.13,15.04,0.07,15.11,2.49,17.6,3.64,21.25,0.07,21.31,3.58,24.9,24.9,295.9,0.02,295.92,295.93,171.5,22.14,149.37,149.36,11.56,11.57,20.54,-8.98,7.87,7.87,2.36,5.51,5.51,5.51,5.51,5.51,0,72.73,0.94,71.79,38.72,7.74,3.48,27.49,27.5,0.27,27.23,7,20.23,20.23,2.25,17.98,33.07,2.23,18.86,11.99,29.96,5.59,24.37,24.66,5.32,3.67,1.65,19.34,1.36,17.97,8.53,6.77,2.68,30.29,3.56,33.85,33.85,18.64,105.08,3.79,113.33,4.45,4.08,0.37,65.08,48.26,271,222.74,113.83,18.07,14.84,80.93,39.27,3.95,37.7,56.13,12.31,5.67,18.43,20.68,52.59,13.48,4.45,-9.03,30,39.03,6.33,32.7,32.7,38.37,10.7,27.67,15.62,10.22,1.83,6.78,-4.95,-4.95,4.83,-13.54,12.98,0.76,14.53,9.36,51.17,2.31,38.15,38.14,4.66,23.76,-9.74,23.66,-29.73,3.46,7.79,40.98,-17.33,2.53,3.96,23.81,17.87,4.96,46.64,1.65,48.29,5.27,53.56,53.56,4.62,19.72,1.58,4.21,13.93,13.93,77.9,20.8,10.21,108.9,3.77,467.58,0,16.87
0.92,0,0.92,0.92,14.15,15.07,0.07,15.14,2.49,17.64,3.65,21.28,0.07,21.35,3.59,24.95,24.94,286.03,0.02,286.06,286.06,163.63,22.18,141.46,141.45,-6.99,-6.98,20.58,-27.56,7.88,7.88,2.36,5.52,5.52,5.52,5.52,5.52,0,73.22,0.95,72.28,38.95,7.76,3.49,27.71,27.71,0.27,27.44,7.01,20.43,20.43,2.26,18.17,33.32,2.23,18.9,12.2,30.37,5.6,24.77,24.7,5.33,3.68,1.66,19.37,1.36,18.01,8.54,6.78,2.69,30.34,3.57,33.91,33.91,18.68,105.37,3.8,113.63,4.46,4.09,0.37,75.23,38.41,261.09,222.68,113.76,18.1,14.86,80.8,39.34,3.96,37.5,56.15,12.34,5.45,18.65,20.72,52.78,13.42,4.46,-8.96,30.41,39.37,6.35,33.03,33.02,38.47,10.72,27.75,15.65,10.23,1.86,6.79,-4.93,-4.93,4.84,-13.54,13,0.76,14.55,9.38,51.23,2.32,38.37,38.36,4.66,23.8,-9.9,23.77,-29.74,3.47,7.81,41.02,-17.25,2.53,3.97,23.74,17.91,4.97,46.62,1.65,48.27,5.28,53.55,53.55,4.63,19.68,1.59,4.22,13.87,13.88,77.85,20.83,10.23,108.91,3.77,449.84,0,35.47
0.9,0,0.9,0.9,13.84,14.73,0.07,14.8,2.44,17.25,3.57,20.81,0.07,20.88,3.51,24.4,24.39,279.27,0.02,279.3,279.3,159.66,21.69,137.97,137.97,-7.66,-7.65,20.12,-27.78,7.71,7.71,2.31,5.4,5.4,5.4,5.4,5.4,0,71.62,0.92,70.7,38.1,7.59,3.41,27.1,27.1,0.26,26.84,6.85,19.99,19.99,2.21,17.78,32.6,2.18,18.48,11.94,29.72,5.48,24.24,24.16,5.22,3.6,1.62,18.94,1.33,17.61,8.35,6.63,2.63,29.68,3.49,33.17,33.17,18.26,103.05,3.72,111.13,4.36,4,0.37,74.01,37.13,254.88,217.75,111.24,17.7,14.54,79.01,38.47,3.87,36.66,54.9,12.06,5.32,18.25,20.26,51.62,13.12,4.36,-8.76,29.76,38.51,6.21,32.31,32.31,37.62,10.49,27.14,15.31,10.01,1.82,6.64,-4.82,-4.82,4.73,-13.24,12.72,0.74,14.23,9.17,50.1,2.27,37.53,37.52,4.56,23.28,-9.69,23.25,-29.09,3.39,7.64,40.11,-16.87,2.48,3.88,23.22,17.51,4.86,45.59,1.62,47.2,5.16,52.37,52.36,4.53,19.24,1.55,4.12,13.57,13.57,76.13,20.37,10.01,106.5,3.69,439.11,0,35.51
0.78,0,0.78,0.78,12.07,12.85,0.06,12.91,2.13,15.04,3.11,18.16,0.06,18.21,3.06,21.28,21.27,254.99,0.02,255.01,255.01,148.22,18.91,129.31,129.3,13.75,13.75,17.55,-3.8,6.72,6.72,2.02,4.71,4.71,4.71,4.71,4.71,0,62.07,0.81,61.27,33.05,6.62,2.97,23.46,23.46,0.23,23.23,5.98,17.25,17.25,1.93,15.33,28.22,1.9,16.12,10.2,25.53,4.78,20.75,21.07,4.55,3.14,1.41,16.52,1.16,15.36,7.29,5.78,2.29,25.87,3.04,28.91,28.91,15.93,89.74,3.24,96.79,3.81,3.49,0.32,53.5,43.31,233.71,190.41,97.31,15.44,12.68,69.2,33.55,3.38,32.27,47.97,10.52,4.9,15.7,17.67,44.9,11.54,3.8,-7.74,25.55,33.29,5.41,27.88,27.88,32.77,9.15,23.63,13.35,8.73,1.55,5.79,-4.24,-4.24,4.12,-11.58,11.09,0.65,12.41,8,43.72,1.98,32.56,32.55,3.98,20.3,-8.29,20.2,-25.41,2.96,6.66,35.03,-14.83,2.16,3.38,20.37,15.27,4.24,39.88,1.41,41.28,4.5,45.79,45.79,3.95,16.87,1.35,3.6,11.92,11.92,66.6,17.77,8.73,93.08,3.22,403.45,0,10.56
