m1,m2,m3
2.46779,0.475408,2.51316,
10.0114,-5.80672,8.15539,
8.93665,-5.20141,7.26699,
8.13689,-4.74018,6.6136,
7.74491,-4.49403,6.30773,
6.8061,-3.96649,5.53082,
6.80563,-3.94363,5.54657,
8.87055,-5.00976,7.32044,
9.33668,-5.24955,7.72112,
8.85329,-5.00962,7.29962,
8.70586,-4.95342,7.1593,
9.5586,-5.41368,7.87774,
10.3173,-5.82243,8.51741,
10.829,-6.09407,8.95156,
10.6574,-6.00116,8.80723,
11.942,-6.68165,9.89779,
11.6935,-6.57119,9.67253,
10.0426,-5.76125,8.22563,
11.275,-6.38678,9.29169,
13.6058,-7.58856,11.293,
15.8644,-8.77769,13.2149,
18.9032,-10.3897,15.7919,
22.0261,-12.0208,18.4567,
23.7958,-12.9487,19.9642,
26.315,-14.2727,22.1082,
25.9432,-14.0859,21.7861,
26.2584,-14.2742,22.0398,
26.3886,-14.3652,22.1359,
26.0328,-14.1889,21.8261,
26.1161,-14.2521,21.8845,
25.0491,-13.655,20.9999,
24.8021,-13.5375,20.7817,
24.9698,-13.543,20.9781,
26.5676,-14.4373,22.3026,
26.2394,-14.2872,22.0086,
25.8974,-14.131,21.7024,
26.1349,-14.2904,21.8819,
26.7501,-14.5979,22.4159,
26.8899,-14.6727,22.534,
26.3509,-14.4084,22.0628,
24.7851,-13.6151,20.7107,
21.6927,-12.0905,18.011,
21.2817,-11.8387,17.6849,
22.6096,-12.5023,18.8384,
22.203,-12.2891,18.4919,
20.2662,-11.2738,16.841,
21.9515,-12.1872,18.2576,
21.9581,-12.1761,18.2729,
22.1428,-12.2553,18.4422,
23.5045,-12.9728,19.6002,
23.5648,-12.9984,19.6556,
22.7127,-12.532,18.9424,
20.4532,-11.3203,17.0348,
19.3091,-10.722,16.0586,
18.6087,-10.3132,15.4894,
17.6671,-9.80995,14.6932,
16.4279,-9.08611,13.6864,
15.8035,-8.77598,13.1428,
14.7101,-8.20747,12.2076,
13.5264,-7.60239,11.1879,
13.3352,-7.51617,11.0152,
15.1933,-8.45742,12.6217,
15.2232,-8.45548,12.659,
14.7225,-8.17829,12.242,
14.0183,-7.81788,11.6359,
12.7093,-7.21714,10.4613,
14.2942,-8.02473,11.8292,
16.5961,-9.20128,13.8119,
17.093,-9.45174,14.242,
18.9011,-10.4061,15.7786,
23.2057,-12.7102,19.4153,
27.5597,-14.9834,23.1309,
30.9451,-16.7706,26.0067,
32.0785,-17.3922,26.9545,
31.1362,-16.9243,26.1348,
31.6141,-17.2142,26.5165,
31.6809,-17.2812,26.5526,
30.6903,-16.7817,25.6958,
28.9558,-15.8201,24.2521,
29.7906,-16.2779,24.9502,
29.4749,-16.0042,24.7515,
28.857,-15.7317,24.1918,
27.702,-15.1505,23.1918,
26.3107,-14.433,21.9988,
24.8995,-13.7155,20.7815,
23.6803,-13.0457,19.7628,
22.1811,-12.2474,18.4933,
20.7872,-11.5059,17.3125,
18.0101,-10.0499,14.9454,
15.402,-8.75016,12.675,
15.8715,-8.94584,13.1101,
16.9891,-9.47282,14.103,
18.0259,-9.99993,14.9978,
17.81,-9.87645,14.8207,
19.3611,-10.7032,16.1336,
19.7463,-10.9019,16.464,
19.039,-10.535,15.8587,
17.8309,-9.89981,14.8302,
16.9067,-9.39718,14.0546,
17.9611,-9.90056,14.986,
18.0648,-9.92521,15.094,
17.6715,-9.71772,14.7597,
16.1548,-8.88565,13.4916,
15.5094,-8.53813,12.9476,
14.9586,-8.20421,12.508,
14.5213,-7.99397,12.1229,
14.475,-7.96353,12.0875,
14.8301,-8.14917,12.3904,
16.2767,-8.92305,13.6129,
17.9807,-9.79361,15.0794,
19.2242,-10.4527,16.1342,
18.4127,-10.0467,15.4302,
17.9872,-9.85728,15.0457,
16.5104,-9.19099,13.7157,
17.6291,-9.77548,14.6705,
19.8992,-10.9388,16.6229,
20.5577,-11.2715,17.1923,
20.3154,-11.1629,16.9736,
21.8133,-11.998,18.2172,
